"","WBANID","COUNTY"
"644","24260","DEL NORTE"
"645","24286","DEL NORTE"
"646","23293","SANTA CLARA"
"647","03129","KERN"
"648","23134","SAN BERNARDINO"
"649","23124","LOS ANGELES"
"650","24262","SISKIYOU"
"651","03183","KERN"
"652","03187","SAN BERNARDINO"
"653","03189","SAN BERNARDINO"
"654","03190","SAN DIEGO"
"655","03197","KERN"
"656","53100","SAN DIEGO"
"657","23070","LAS ANIMAS"
"658","93069","MONTEZUMA"
"659","03008","LA PLATA"
"660","93019","COSTILLA"
"661","23061","ALAMOSA"
"662","93059","RIO GRANDE"
"663","93011","RIO GRANDE"
"664","93023","HUERFANO"
"665","93015","HUERFANO"
"666","93024","PUEBLO"
"667","03007","OURAY"
"668","23067","OTERO"
"669","23014","OTERO"
"670","93008","PROWERS"
"671","23068","PUEBLO"
"672","93058","PUEBLO"
"673","23028","PUEBLO"
"674","93022","PUEBLO"
"675","93001","FREMONT"
"676","93090","MONTROSE"
"677","93012","CHAFFEE"
"678","93085","GUNNISON"
"679","93007","GUNNISON"
"680","94015","EL PASO"
"681","23029","EL PASO"
"682","93037","EL PASO"
"683","03006","GUNNISON"
"684","93003","TELLER"
"685","93065","EL PASO"
"686","93014","EL PASO"
"687","93021","EL PASO"
"688","23032","MESA"
"689","93031","MESA"
"690","93018","ELBERT"
"691","93020","DOUGLAS"
"692","93073","PITKIN"
"693","93009","LAKE"
"694","93086","PITKIN"
"695","93053","KIT CARSON"
"696","93036","SUMMIT"
"697","93067","ARAPAHOE"
"698","03009","GARFIELD"
"699","93048","ARAPAHOE"
"700","23063","EAGLE"
"701","23036","ARAPAHOE"
"702","93032","ARAPAHOE"
"703","23012","DENVER"
"704","93071","JEFFERSON"
"705","23062","DENVER"
"706","93002","DENVER"
"707","93070","JEFFERSON"
"708","93068","JEFFERSON"
"709","03065","JEFFERSON"
"710","93017","GILPIN"
"711","93006","GRAND"
"712","94018","BOULDER"
"713","24050","GRAND"
"714","94005","WASHINGTON"
"715","24015","WASHINGTON"
"716","24051","WELD"
"717","24046","MOFFAT"
"718","94033","ROUTT"
"719","94083","LOGAN"
"720","24071","WELD"
"721","24074","SEDGWICK"
"722","94025","ROUTT"
"723","93096","GRAND"
"724","03011","SAN MIGUEL"
"725","94042","BOULDER"
"726","94702","FAIRFIELD"
"727","14718","FAIRFIELD"
"728","94772","NEW HAVEN"
"729","54734","FAIRFIELD"
"730","54729","FAIRFIELD"
"731","64707","NEW HAVEN"
"732","54788","NEW HAVEN"
"733","04744","MIDDLESEX"
"734","14752","HARTFORD"
"735","94760","HARTFORD"
"736","94719","HARTFORD"
"737","14766","WINDHAM"
"738","14721","HARTFORD"
"739","14740","HARTFORD"
"740","04723","TOLLAND"
"741","13764","SUSSEX"
"742","93716","SUSSEX"
"743","93704","SUSSEX"
"744","13707","KENT"
"745","12891","MONROE"
"746","12896","MONROE"
"747","12848","DADE"
"748","12853","DADE"
"749","12888","DADE"
"750","12859","DADE"
"751","92811","DADE"
"752","12829","DADE"
"753","12839","DADE"
"754","12882","DADE"
"755","12852","DADE"
"756","12880","COLLIER"
"757","92809","BROWARD"
"758","12849","BROWARD"
"759","12830","COLLIER"
"760","12897","COLLIER"
"761","12885","BROWARD"
"762","92805","BROWARD"
"763","12803","PALM BEACH"
"764","12844","PALM BEACH"
"765","12870","PALM BEACH"
"766","12872","HENDRY"
"767","12865","PALM BEACH"
"768","12812","CHARLOTTE"
"769","12893","PALM BEACH"
"770","12825","SARASOTA"
"771","12869","DESOTO"
"772","12814","SARASOTA"
"773","12871","SARASOTA"
"774","12805","HIGHLANDS"
"775","12875","HARDEE"
"776","12855","INDIAN RIVER"
"777","12804","POLK"
"778","12873","PINELLAS"
"779","12810","HILLSBOROUGH"
"780","12881","BREVARD"
"781","12809","POLK"
"782","12808","POLK"
"783","92812","HILLSBOROUGH"
"784","12806","HILLSBOROUGH"
"785","12842","HILLSBOROUGH"
"786","12883","POLK"
"787","12837","POLK"
"788","12851","BREVARD"
"789","12867","PASCO"
"790","12845","BREVARD"
"791","12813","OSCEOLA"
"792","12815","ORANGE"
"793","12818","HERNANDO"
"794","12841","ORANGE"
"795","12824","ORANGE"
"796","12828","SUMTER"
"797","12854","SEMINOLE"
"798","12819","LAKE"
"799","12847","VOLUSIA"
"800","12862","MARION"
"801","12834","VOLUSIA"
"802","12846","VOLUSIA"
"803","12823","LEVY"
"804","12822","DIXIE"
"805","12833","DIXIE"
"806","12889","PUTNAM"
"807","12879","GULF"
"808","12816","ALACHUA"
"809","12817","BRADFORD"
"810","03869","WALTON"
"811","13844","TAYLOR"
"812","53862","TAYLOR"
"813","13846","BAY"
"814","93838","COLUMBIA"
"815","93837","DUVAL"
"816","93832","DUVAL"
"817","03882","BAY"
"818","53860","DUVAL"
"819","93852","ST. JOHNS"
"820","03853","DUVAL"
"821","13889","DUVAL"
"822","03824","CALHOUN"
"823","03861","OKALOOSA"
"824","03852","OKALOOSA"
"825","03876","SANTA ROSA"
"826","03815","ESCAMBIA"
"827","13890","HAMILTON"
"828","13858","OKALOOSA"
"829","03862","SANTA ROSA"
"830","03843","OKALOOSA"
"831","03863","OKALOOSA"
"832","03864","OKALOOSA"
"833","03845","OKALOOSA"
"834","03842","WALTON"
"835","03844","OKALOOSA"
"836","93841","SANTA ROSA"
"837","03818","JACKSON"
"838","13851","JACKSON"
"839","03826","WASHINGTON"
"840","12895","ST. LUCIE"
"841","92800","DADE"
"842","12876","POLK"
"843","93845","LOWNDES"
"844","93861","THOMAS"
"845","13852","THOMAS"
"846","13857","LOWNDES"
"847","53817","COLQUITT"
"848","13878","GLYNN"
"849","93840","GLYNN"
"850","13835","COLQUITT"
"851","93836","GLYNN"
"852","13870","BACON"
"853","13869","DOUGHERTY"
"854","13815","DOUGHERTY"
"855","13847","MCINTOSH"
"856","73807","LEE"
"857","13863","LIBERTY"
"858","03875","LIBERTY"
"859","93864","SUMTER"
"860","53807","SUMTER"
"861","13829","CHATTAHOOCHEE"
"862","03874","CHATTAHOOCHEE"
"863","93842","MUSCOGEE"
"864","93870","TAYLOR"
"865","13860","HOUSTON"
"866","13836","BIBB"
"867","03813","BIBB"
"868","13892","BIBB"
"869","93853","BIBB"
"870","03821","TROUP"
"871","03820","RICHMOND"
"872","03885","COWETA"
"873","93848","RICHMOND"
"874","13837","RICHMOND"
"875","13875","RICHMOND"
"876","13874","FULTON"
"877","93847","FULTON"
"878","03884","FULTON"
"879","03888","FULTON"
"880","93830","DEKALB"
"881","53863","DEKALB"
"882","13864","COBB"
"883","13873","CLARKE"
"884","03832","BARROW"
"885","93835","JACKSON"
"886","03854","DAWSON"
"887","93801","FLOYD"
"888","93863","GORDON"
"889","24158","CASSIA"
"890","94186","CASSIA"
"891","94178","TWIN FALLS"
"892","24133","CASSIA"
