state,county,year,freezing_days
NY,CLINTON,2022,43
NY,JEFFERSON,2022,35
NY,FRANKLIN,2022,60
MI,BERRIEN,2022,33
MI,GENESEE,2022,38
WI,SAUK,2022,52
WI,TAYLOR,2022,89
WI,DOUGLAS,2022,89
WI,MONROE,2022,43
MN,OLMSTED,2022,65
WI,BROWN,2022,53
WI,WINNEBAGO,2022,56
WI,MARATHON,2022,69
WI,PRICE,2022,97
IA,EMMET,2022,60
WI,VILAS,2022,100
SD,MINNEHAHA,2022,45
SD,HAAKON,2022,38
SD,YANKTON,2022,44
SD,DAVISON,2022,54
MN,CROW WING,2022,85
MN,DOUGLAS,2022,96
SD,HUGHES,2022,48
SD,OTTER TAIL,2022,97
MN,HENNEPIN,2022,60
WY,BIG HORN,2022,48
MN,SHERBURNE,2022,75
WY,CARBON,2022,37
WY,SUBLETTE,2022,59
ID,SHOSHONE,2022,98
MI,CHIPPEWA,2022,68
MI,PRESQUE ISLE,2022,61
ND,STUTSMAN,2022,90
ND,GRAND FORKS,2022,106
ND,RAMSEY,2022,101
ND,MCLEAN,2022,88
MT,ROOSEVELT,2022,73
MT,RICHLAND,2022,69
MT,GLACIER,2022,55
MT,HILL,2022,60
WA,CHELAN,2022,52
WA,GRANT,2022,33
NH,GRAFTON,2022,28
IL,MORGAN,2022,30
NY,DUTCHESS,2022,14
SD,HARDING,2022,47
MN,PINE,2022,92
SD,LYMAN,2022,51
CO,WELD,2022,13
AK,CHUGACH CENSUS AREA,2022,28
WI,JUNEAU,2022,55
NE,SIOUX,2022,30
AK,COPPER RIVER CENSUS AREA,2022,161
MN,NOBLES,2022,60
AK,DENALI BOROUGH,2022,110
AK,ANCHORAGE BOROUGH,2022,40
AK,BETHEL,2022,35
AK,DILLINGHAM,2022,62
AK,SITKA BOROUGH,2022,10
MN,MURRAY,2022,72
IL,VERMILION,2022,30
IL,KNOX,2022,48
NE,THOMAS,2022,31
MI,SHIAWASSEE,2022,40
TX,WINKLER,2022,2
NC,WAYNE,2022,1
TN,BLOUNT,2022,3
NM,SOCORRO,2022,1
VA,SUSSEX,2022,1
VA,LOUDOUN,2022,2
VA,WASHINGTON,2022,7
OH,CLARK,2022,25
NY,SUFFOLK,2022,5
NJ,BERGEN,2022,12
CT,FAIRFIELD,2022,10
IL,DUPAGE,2022,45
IN,ALLEN,2022,36
IN,MIAMI,2022,33
IL,LAKE,2022,44
MI,KEWEENAW,2022,69
MI,INGHAM,2022,48
MI,MONROE,2022,31
PA,MONROE,2022,42
IA,LINN,2022,53
IA,JOHNSON,2022,46
IA,DUBUQUE,2022,48
IA,STORY,2022,46
IA,AUDUBON,2022,40
NE,BURT,2022,33
NE,CHASE,2022,18
NE,BOX BUTTE,2022,33
WY,GOSHEN,2022,27
NH,STRAFFORD,2022,19
ME,PISCATAQUIS,2022,61
MI,ROSCOMMON,2022,61
WI,DANE,2022,47
WI,POLK,2022,67
WI,LA CROSSE,2022,52
WI,BARRON,2022,75
MI,MENOMINEE,2022,58
SD,MEADE,2022,32
MN,WATONWAN,2022,69
MN,MARTIN,2022,65
MN,FREEBORN,2022,69
WY,SHERIDAN,2022,31
MT,DAWSON,2022,67
WY,PARK,2022,30
ME,AROOSTOOK,2022,52
MI,DICKINSON,2022,83
MI,GOGEBIC,2022,86
MN,ST. LOUIS,2022,95
MN,ITASCA,2022,93
MN,KOOCHICHING,2022,97
MN,LAKE OF THE WOODS,2022,108
MN,SWIFT,2022,77
MN,BELTRAMI,2022,109
ND,WARD,2022,89
WA,YAKIMA,2022,28
WA,KITTITAS,2022,23
MT,CUSTER,2022,61
IL,SALINE,2022,12
IL,CHRISTIAN,2022,24
NY,QUEENS,2022,5
ND,KIDDER,2022,93
CO,MOFFAT,2022,35
MI,OTSEGO,2022,88
IL,DEKALB,2022,43
WY,CROOK,2022,69
NY,ORANGE,2021,18
AK,KODIAK ISLAND BOROUGH,2021,17
MO,JACKSON,2021,15
TX,ANDERSON,2021,7
TX,GILLESPIE,2021,3
IA,HARDIN,2021,42
WI,LINCOLN,2021,65
MI,SHIAWASSEE,2021,28
TX,MCLENNAN,2021,7
AR,PULASKI,2021,5
VA,SMYTH,2021,10
IL,ADAMS,2021,24
MO,ST. FRANCOIS,2021,14
MO,ADAIR,2021,23
KS,HARVEY,2021,13
KS,GEARY,2021,14
CT,NEW HAVEN,2021,3
MA,NANTUCKET,2021,6
NY,CHEMUNG,2021,15
IN,DELAWARE,2021,16
MI,WAYNE,2021,18
IA,DES MOINES,2021,29
IL,WINNEBAGO,2021,24
PA,MONROE,2021,34
NE,CUSTER,2021,22
NE,PLATTE,2021,24
NE,KIMBALL,2021,14
NE,CHERRY,2021,22
VT,LAMOILLE,2021,52
MI,MUSKEGON,2021,23
MI,SAGINAW,2021,30
MI,ROSCOMMON,2021,39
WI,RACINE,2021,28
WI,BARRON,2021,58
WI,WOOD,2021,60
MN,ANOKA,2021,49
MN,SHERBURNE,2021,51
SD,WALWORTH,2021,39
MN,BELTRAMI,2021,75
MT,CUSTER,2021,29
IL,SALINE,2021,14
IL,WAYNE,2021,16
OK,PAYNE,2021,10
AK,DILLINGHAM,2021,93
CO,ROUTT,2022,36
ID,BLAINE,2022,62
OK,SEMINOLE,2022,6
IA,CLARKE,2022,36
MN,ROCK,2022,61
